# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
	10.db.3@42@f-un-3b@Эй! Макс! Я же совсем голая! Так, ты смотришь в другую сторону, понял? Сейчас выгоню тебя из комнаты!|Hey! Ich bin hier völlig nackt! Schau weg, oder ich werfe dich raus!
		10.db.4^		Я не смотрю!|Ich habe nicht zugesehen!

	10.db.4@41@a-liza-dressing-2@Ну да, не смотришь... Я же вижу... Ладно, я уже почти оделась. Надо же, какой озабоченный у меня брат...|Ja ja, richtig.... Gut, ich bin sowieso fast fertig. Du bist so ein Perverser....
		10.db.5^		Ничего я не озабоченный...|Nein, bin ich nicht.

	10.db.5@43@a-liza-dressing-1@Ага... Лишь бы на сиськи лишний раз взглянуть... Ну ладно, можешь смотреть. Я готова!|Ja, ja, richtig. Du denkst nur daran, auf meine Titten zu starren.... Gut, du kannst schauen. Ich bin bereit.
		10.db.6^		Хорошо выглядишь!|Du siehst umwerfend aus!

	10.db.6@41@Спасибо, Макс! Ты знаешь, что сказать девушке... Ну всё, шоу окончено, беги по своим делам...|Danke, Max. Es ist gut, ab und zu schöne Dinge von dir zu hören.... Okay, die Show ist vorbei.
		leave!max_cam.0.grow_200!time^		Ага...|Okay



# --- 1.0: Анна собирается на шоппинг...

	10.dc.0@60@a-Momdressing-2@Макс! Я же переодеваюсь, прикрой дверь!|Ich ziehe mich um, Max! Mach die Tür zu!
		10.dc.1!max_cam.2.grow_200^		Я не буду мешать...|Ich werde dir nicht im Weg sein.

	10.dc.1@67@a-Momdressing-3@Ладно. Только не входи в комнату и если кто-то пойдёт, прикрой дверь...|Okay, aber komm nicht rein. Und mach die Tür zu, wenn jemand in die Nähe kommt.
		mwear=0&10.dc.2^		Хорошо, мам...|Okay, Mom
		mwear=1&10.dc.7^		Хорошо, мам...|Okay, Mom
		mwear=2&10.dc.11^		Хорошо, мам...|Okay, Mom
		mwear=3&10.dc.16^		Хорошо, мам...|Okay, Mom

	10.dc.2@4@a-Momdressing-4@<i>Обожаю такие моменты! Мама знает, что я смотрю, а я знаю, что она знает... Кажется, что даже специально меня провоцирует...</i>|<i>Ich liebe das! Mom weiß, dass ich zuschaue, ich weiß, dass sie weiß....</i>
		10.dc.3^		<i>далее</i>|<i>fortfahren</i>

	10.dc.3@5@a-Momdressing-5@<i>Похоже, мама решила устроить стриптиз специально для меня! Какая фигура!</i>|<i>Sieht so aus, als hätte Mom beschlossen, eine Show nur für mich zu veranstalten!</i>
		10.dc.4^		<i>далее</i>|<i>fortfahren</i>

	10.dc.4@3@a-Momdressing-8@<i>Какая красота! Да это же самая сексуальная попка, какую я только видел! Как мне повезло с мамой...</i>|<i>Sie ist so schön! Sie hat den besten Arsch der Welt! Ich bin so glücklich....</i>
		10.dc.5^		<i>далее</i>|<i>fortfahren</i>

	10.dc.5@62@a-Momdressing-11@Макс, ну как тебе не стыдно пялиться на меня? Если честно, ты меня очень смущаешь...|Wie konntest du mich so dreist anstarren....
		10.dc.6^		Не обращай на меня внимания...|Kümmere dich nicht um mich.

	10.dc.6@67@a-Momdressing-13@Ты знаешь, очень сложно не обращать внимания на то, что происходит в твоих шортах... Ладно, шоу окончено, мы поехали на шоппинг...|Ich kann nicht ignorieren, was in deinen Shorts vorgeht.... Okay, die Show ist vorbei, gehen wir einkaufen.
		leave!set_mwear_1!time^		Угу...|Okay

	10.dc.7@69@a-Momdressing-1@Макс! Ну я так не могу... Мне надо полностью раздеться, а ты на меня смотришь... К тому же, такой возбуждённый... Отвернись!|So kann ich das nicht machen, Max.... Ich muss mich komplett ausziehen, ich kann das nicht, wenn du zuschaust.... Außerdem bist du so hart.... Dreh dich um!
		10.dc.8^		Ага...|Okay

	10.dc.8@4@a-Momdressing-9@<i>Она же догадывается, что я не отвернулся? Ещё и нагнулась... Ух, ещё чуть-чуть и я кончу не вынимая свой член!</i>|<i>Sie muss wissen, dass ich mich nicht umgedreht habe. Sie beugt sich vor.... Ich könnte aus dieser Sicht in meine Shorts kommen!</i>
		10.dc.9^		<i>далее</i>|<i>fortfahren</i>

	10.dc.9@73@a-Momdressing-5b@Макс! Я же знаю, что ты смотришь... Не смущай меня, пожалуйста, а то я провожусь дольше, чем планировала...|Ich weiß, du schaust zu, Max.... Wenn du mich anstarrst, nehme ich mir mehr Zeit als sonst....
		10.dc.10^		Да да...|J-ja...

	10.dc.10@67@a-Momdressing-13@Всё, я готова. Судя по твоему выражению лица и тому, что... ниже... Выгляжу я хорошо, да? Можешь не отвечать. Ну, я побежала!|Okay, ich bin bereit. Gemessen an deinem.... Ich sehe gut aus, oder? Du musst nicht antworten. Okay, ich gehe jetzt.
		leave!set_mwear_2!time^		Ага...|Okay

	10.dc.11@4@a-Momdressing-4@<i>Похоже, маме и самой нравится, когда я смотрю как она раздевается... Ещё и попкой вертит... Причём, явно специально!</i>|<i>Mom muss es mögen, von mir beobachtet zu werden. Sie bewegt definitiv ihren sexy Hintern mehr als sie muss!</i>
		10.dc.12^		<i>далее</i>|<i>fortfahren</i>

	10.dc.12@62@a-Momdressing-7@Макс! Опять пялишься на мою... на меня. И не отрицай, по твоим шортам всё видно... Опять же не сможешь решить свою проблему сам. А мне некогда... Так что, отвернись!|Du starrst schon wieder, Max! Und versuch nicht, es zu leugnen, ich kann die.... Beweise in deinen Shorts sehen. Was wirst du jetzt tun? Ich habe keine Zeit, dir zu helfen.... Dreh dich um!
		10.dc.13^		Угу...|Okay

	10.dc.13@67@a-Momdressing-10@Эй! Я же вижу, что ты не отвернулся. Ну вот, твои шорты больше ничего не скрывают... А если кто-то из девчонок увидит? Неужели, не стыдно?|I know you didn't turn around, Max. What if girls see you? Aren't you ashamed...
		10.dc.14^		Типа того...|Ja...

	10.dc.14@4@a-Momdressing-5b@<i>Да она же со мной флиртует! И что радует - совершенно меня не стесняется! Кажется, я на верном пути...</i>|<i>Sie flirtet mit mir! Und sie fühlt sich wohl, wenn ich sie ansehe, so viel ich will! Wir gehen in die richtige Richtung...</i>
		10.dc.15^		<i>далее</i>|<i>fortfahren</i>

	10.dc.15@62@a-Momdressing-13@Ну что, понравилось шоу? Хотя, вижу, что понравилось. Похоже, даже слишком... Ну, беги решай свою проблему, а мы на шоппинг...|Gefällt dir die Show? Ich kann die Antwort sehen. Mach was mit deinem Problem, ich gehe einkaufen.
		leave!set_mwear_3!time^		Ага...|Okay

	10.dc.16@4@a-Momdressing-4@<i>Интересно, а мама всегда носит трусики? Может быть, удастся как-то её убедить ходить без них? Хотя, в шортиках всё равно ничего не видно...</i>|<i>Ich frage mich, ob ich Mom überreden kann, kein Höschen mehr zu tragen.... Nicht, dass es einen großen Unterschied machen würde, bei ihre Unterwäsche....</i>
		10.dc.17^		<i>далее</i>|<i>fortfahren</i>

	10.dc.17@3@a-Momdressing-5@<i>Как же красиво она это делает... Плавные сексуальные движения, попкой крутит... Явно старается для меня... Обожаю её!</i>|<i>Sie ist so sexy.... Und ihre Bewegungen sind so verführerisch.... Sie macht definitiv eine Show für mich! Ich liebe sie!</i>
		10.dc.18^		<i>далее</i>|<i>fortfahren</i>

	10.dc.18@67@a-Momdressing-12@Макс, ты ещё здесь? Я думала, что тебе уже стало скучно и ты ушёл... Хотя, ты разве пропустишь лишний раз поглазеть на голую женщину...|Bist du noch da, Max? Ich dachte, du hättest dich gelangweilt und bist schon weg.... Nicht, dass du jemals eine Gelegenheit verpasst, einen nackten Körper zu sehen....
		10.dc.19^		Самую красивую женщину!|Der nackte Körper der sexiesten Frau der Welt!
		10.dc.19^		На такую готов смотреть вечно!|Ich bin bereit, dich für immer anzuschauen!

	10.dc.19@75@a-Momdressing-10b@Спасибо тебе, сынок... Женщине приятно слышать такое от муж... даже от сына... Но не отвлекай меня и веди себя тихо. Мне всё ещё надо переодеться...|Danke, mein Sohn. Ich bin froh, es von einem Mann zu hören.... sogar von einem Sohn.... Aber versuch ruhig zu sein, ich muss mich noch umziehen.
