# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.aed.2^		Это же здорово!|Das ist großartig!

	07.aed.2@25@p-ak-6@Здорово, пока это не начинает надоедать. Так что, не злоупотребляй нашей добротой... Но шорты снимай...|Fürs Erste, obwohl es sich nicht zu oft wiederholt. Also mißbrauche unsere Freundlichkeit nicht. Zieh deine Hose aus.
		07.aed.3^		Хорошо...|Okay

	07.aed.3@151@p-ak-11@Ну, Макс, чего бы ты сегодня хотел? Или даже не так. Кого ты выбираешь сегодня?|Also, Max, was willst du heute machen? Oder besser gesagt, wen willst du heute ficken?
		07.aee.0^		Алису!|Alice!
		07.aef.0^		Тебя!|Dich!



# --- 0.7: Макс выбрал Алису

	07.aee.0@154@Ого... Брат выбирает свою сестру? Какая неожиданность! Алиса, ты его слышала... Кажется, Макс соскучился по твоему нежному ротику... А я посмотрю на вас...|Wow, Bruder wählt seine Schwester, was für eine Überraschung.... Du hast ihn gehört, Alice. Ich glaube, Max vermisst deinen sanften Mund. Und ich werde zusehen....
		07.aee.1^		<i>далее</i>|<i>fortfahren</i>

	07.aee.1@25@p-ak-7@Если что, то у меня нежный не только ротик... Но я ни на что не намекаю. Вовсе нет...|Ich habe andere sanfte Stellen, nicht nur meinen Mund.... Ich schlage aber nichts vor.
		07.aee.2^		Ох...|Oh...

	07.aee.2@151@p-ak-8@Что у тебя там нежное я знаю, но на твою киску у меня свои планы... А ты, Макс, не забывай пальчиками работать... Мне нравится, когда... вот так...|Ich weiß von deinen sanften Stellen, aber ich habe andere Pläne dafür. Vergiss nicht, deine Finger zu benutzen, Max. Ich mag es, wenn du.... Ja....
		07.aee.3^		Ага...|Sicher

	07.aee.3@4@p-ak-9@<i>Алиса сегодня в хорошем настроении, похоже... Почти без разговоров накинулась на член и так старается... Даже слишком... Ещё чуть-чуть и я...</i>|<i>Alice hat heute gute Laune. Sie hat heute wirklich Hunger auf meinen Schwanz.... Ich glaube nicht, dass ich in der Lage sein werde....</i>
		07.aee.4^		<i>кончить Алисе в ротик</i>|<i>spritz in Alice's Mund</i>

	07.aee.4@152@p-ak-10@Молодец, Алиска. О братике нужно заботиться, верно, Макс?|Gute Arbeit, Alice. Du solltest auf deinen Bruder aufpassen, richtig, Max?
		07.aee.5^		Угу...|Ja ja

	07.aee.5@151@Кажется, мы потеряли Макса. Ну что же, придётся справляться без него. Это я намекаю, чтобы ты брал шорты и оставил нас с Алиской наедине...|Ich glaube, wir haben Max ausgelaugt. Nun ja, wir müssen ohne ihn weitermachen. Ich deute an, dass du deine Shorts abholen und uns in Ruhe lassen sollst, falls du sie vergessen hast.
		leave!max_cam.1.grow_250!set_dcd.glz_7!lock_sisroom_5!add_dcd.ah_1!time^			Намёк понял...|Ich hab's



# --- 0.7: Макс выбрал Катю

	07.aef.0@152@Любопытно... Я думала, ты выберешь сестру... Хотела понаблюдать, как вы... Эх. Придётся Алисе наблюдать за нами...|Huh. Ich dachte, du würdest deine Schwester wählen. Ich wollte euch beiden zusehen. Ich schätze, Alice ist heute an der Reihe.
		07.aef.1^		<i>далее</i>|<i>fortfahren</i>

	07.aef.1@21@p-ak-12@Ты так говоришь, как будто не хочешь этого... А ведь я смотрела на тебя и видела, что тебе очень нравится трахаться с моим братом...|Du sagst es, als ob du gezwunden wärst. Ich habe gesehen, wie sehr du es liebst, mit meinen Bruder zu ficken.
		07.aef.2^		Ого...|Wow

	07.aef.2@159@p-ak-13@Из меня всегда была плохая актриса. Да, ты меня раскусила! Но за это я тебя позже накажу... Особо нежными ласками... Но это потом. Сейчас у нас на очереди Большой Макс...|Ich war immer eine lausige Schauspielerin, du hast mich erwischt. Dafür werde ich dich später bestrafen.... Mit einer besonderen Strafe.... Aber das kommt später. Jetzt müssen wir uns um einen Big Max kümmern.
		07.aef.3^		Хы...|Heh

	07.aef.3@157@p-ak-14@Алис, ты же... не ревнуешь, что я... на нём, а не... с тобой? Ох... Я уже и забыла, как Макс бывает хорош... Я бы им с тобой поделилась, но... не будем его слишком баловать... О да...|Du bist nicht eifersüchtig, oder, Alice? Von mir auf.... ihm und nicht.... dir? Oh.... Ich habe vergessen, wie gut er sein kann.... Ich würde mit dir teilen, aber lass uns ihn nicht zu sehr verwöhnen.... Oh, ja....
		07.aef.4^		<i>далее</i>|<i>fortfahren</i>

	07.aef.4@25@p-ak-15@А с чего мне ревновать? Даже если ты начнёшь встречаться с моим братом, я всё равно буду рядом. Он же из дома никуда не выходит...|Warum sollte ich eifersüchtig sein? Selbst wenn du dich entscheidest, mit meinem Bruder auszugehen, ich werde sowieso da sein, er verlässt nie das Haus.
		07.aef.5^		Ого!|Wow!

	07.aef.5@151@p-ak-14@А ты и правда заслужила наказание, Алисик... Уж я на тебе оторвусь... Вот только... О... Макс... Можешь кончать в меня, если хочешь... Как же хорошо...|Du verdienst jetzt eine echte Strafe, Alice.... Du bekommst deine bald.... Oh.... Max.... Du kannst in mir kommen, wenn du willst.... So gut....
		07.aef.6^		<i>кончить в Катю</i>|<i>spritz in Kate</i>

	07.aef.6@26@p-ak-16@Кать, неужели тебя эти разговоры так завели? Любопытно... Ну ладно, слазь уже с моего брата, у нас с тобой дела. Ты хотела меня наказать... особо нежно. Я жду...|Hat dich unser Gespräch so sehr angetörnt? Neugierig.... Okay, lass meinen Bruder in Ruhe, wir haben ein unerledigtes Geschäft. Du wolltest mich bestrafen.... Ich gehöre ganz dir....
		07.aef.7^		<i>далее</i>|<i>fortfahren</i>

	07.aef.7@159@Макс, слышал свою сестрёнку? Я сегодня нарасхват... А ты натягивай шорты и, ну ты понял... До скорого!|Du hast deine Schwester gehört, Max. Ich bin heute sehr gefragt, lass uns in Ruhe. Bis bald.
		leave!max_cam.1.grow_250!set_dcd.glz_7!lock_sisroom_5!add_dcd.ah_1!time^			Обязательно!|Definitiv!



# --- 0.7: Макс делает Алисе массаж ног у ТВ (Алиса в одной майке)

	07.afa.0@22@Макс, ты же знаешь, что у меня под майкой ничего нет... Решил найти повод, чтобы заглянуть?|Du weißt, dass ich nichts unter meinem Oberteil habe, Max.... Suchst du nur nach einem Grund, um darunter zu sehen?
		07.afa.1a^		А мне нужен повод?|Brauche ich überhaupt einen Grund?
		07.afa.1b^		Что ты! Хочу сделать тебе приятно...|Natürlich nicht! Ich will nur meiner Schwester gefallen!
		07.afa.1c^		Я даже смотреть не буду...|Ich werde nicht hinsehen.

	07.afa.1a@24@Что?! Давно не шее неполучал? Нет, я сейчас не хочу никакой массаж. И вообще, не мешай мне. Лучше займись чем-нибудь...|War!? Vermisst du es, in die Eier getreten zu werden? Hör auf mich zu belästigen und verschwinde.
		leave!set_dcd.nms_1!lock^		Эх...|Mist...

	07.afa.1b@21@Мне приятно? С чего бы это? Или решил сделать приятно себе, всё таки?|Mir gefallen? Warum solltest du das wollen? Ich glaube, du tust das für dich....
		07.afa.1c^		Да я даже смотреть не буду...|Ich werde nicht nachsehen.

	07.afa.1c@25@Не будешь смотреть? Жаль, жаль... Да шучу я, Макс... Ладно. Вот тебе моя ножка, но не смотри куда не надо, а то косоглазие разовьётся!|Wirst du nicht? Schade.... Ich mache nur Spaß, Max. Okay, hier ist mein Bein, aber schau nicht hin, wo es nicht sein sollte!
		07.afa.1^		Ага...|Ja ja

	07.afa.1@28@p-amax-2@Эй, я же вижу, что подглядываешь! Сконцентрируйся, моим ножкам нужно всё твоё внимание... Да, так хорошо, Макс...|Hey! Ich kann dich gucken sehen! Konzentriere dich, meine Beine erfordern deine volle Konzentration. Du bist so gut, Max....
		07.afa.2^		<i>продолжить</i>|<i>fortfahren</i>

	07.afa.2@31@p-amax-3@О да... Как же это приятно... Думаю, если бы ты пошёл в массажисты, у тебя отбоя не было бы от клиентов... И повод был бы девушек лапать на законных основаниях...|Oh, ja.... Wenn du dich jemals entscheiden solltest, Masseur zu werden, würdest du in Kunden ertrinken.... Und du bekommst eine Ausrede, um dir Frauen zu schnappen!
		07.afa.3^		Хорошая идея!|Gute Idee
