# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

	05.oli3.13@41@Ой, вы не проголодались? Я бы перекусила бутербродом... Кто со мной на кухню? Может, ты, Алекс?|Habt ihr Hunger? Ich hätte jetzt gerne einen Snack. Will jemand mit mir gehen? Was ist mit dir, Alex?
		05.oli3.14^		Идите, я не голодный...|Geh, ich habe keinen Hunger.

	05.oli3.14@142@Я тоже. Мы тут с Максом вас подождём...|Ich auch. Max und ich warten hier auf dich.
		05.oli3.15^		Ага...|Ja

	05.oli3.15@147@m-op-16@Кажется, Лиза уже не скрывает, что ей нравится мой парень... Да и Алекс как-то с энтузиазмом принял её приглашение...|Sieht so aus, als ob Lisa nicht einmal mehr versucht, ihr Gefühl für meinen Freund zu verbergen.... Und Alex war auch sehr gespannt auf ihre Einladung....
		05.oli3.16^		Только не говори, что тебя это беспокоит...|Sag mir nicht, dass es dich stört.

	05.oli3.16@143@Ты знаешь, нет. Я скорее переживаю из-за того, что должно беспокоить, но я как-то спокойно к такому отношусь. К тому же, Алекс тот ещё подарочек...|Nicht wirklich, nein. Wenn überhaupt, dann betrifft mich die Tatsache, dass es mich nicht stört. Und es ist ja nicht so, dass Alex sowieso ein guter Fang ist....
		05.oli3.17^		Ты о чём?|Was meinst du?

	05.oli3.17@140@Ну у нашей семьи, если ты знаешь, сейчас проблемы. Мама с папой ссорятся. Думаю, будут разводиться. Ну и финансовые проблемы начались. И Алекса как будто подменили. Хоть бы сделал вид, что со мной не из-за денег...|Meine Familie hat jetzt einige Probleme. Mama und Papa verstehen sich nicht, ich glaube, die Dinge gehen in Richtung Scheidung. Also haben wir jetzt einige finanzielle Probleme, und Alex ist jetzt ganz anders. Er versucht nicht mal zu verbergen, dass er nur wegen des Geldes bei mir ist....
		05.oli3.18^		Ну ты же сразу это поняла... или нет?|Aber wusstest du das nicht von Anfang an?

	05.oli3.18@141@Поняла, но думала, что это так, в шутку, скорее... Но он и достаточно глуповат оказался, что даже не скрывает свою меркантильность, так сказать... Однако, с ним всегда можно потрахаться, это удобно... Ой. Я не должна с тобой об этом говорить, да?|Habe ich, aber ich dachte, er macht Witze.... Und er ist so dumm, dass er nicht mal seine Gier verbergen kann.... Ich kann ihn aber jederzeit ficken, das ist praktisch.... Warte, ich sollte wahrscheinlich nicht mit dir über dieses Zeug reden, oder?
		05.oli3.19^		Ну мы же почти как друзья, вроде как?|Warum nicht? Sind wir nicht irgendwie Freunde?

	05.oli3.19@143@Почти? Может быть, уже начнём считать себя друзьями, без всяких «вроде»? Кто знает, куда такая дружба заведёт, верно?|Irgendwie schon? Ich denke, wir sind Freunde, ohne den "irgendwie" Teil. Und wer weiß, wohin es uns führen wird, oder?
		05.oli3.20^		Верно... Я согл?сен...|Richtig....

	05.oli3.20@142@Я рада, что мы с тобой нашли общий язык... О, сладкая парочка возвращается. Пойдём уже в бассейн, а то опять заболтались...|Ich bin froh, dass wir eine gemeinsame Basis gefunden haben.... Sieht aus, als kämen unsere Liebsten zurück. Gehen wir zurück zum Pool, bevor wir die ganze Nacht hier verbringen....
		05.oli3.21^		Конечно!|Sicher

	05.oli3.21@135@m-op-23@Оливия, зря отказалась. Там у них такая кухня! Всякая техника, мебель... Всё по высшему классу! Тебе бы понравилось! А в ванной ты видела? Всё из стекла, всё такое прозрачное, дорогое... Видимо, серьёзный архитектор работал. Это же так дорого!|Du hättest ihre Küche sehen sollen, Olivia! Die Möbel, die Geräte.... Alles ist erstklassig! Du würdest es lieben! Und hast du ihr Badezimmer gesehen? Alles ist aus Glas, so teuer.... Das ist ein Meisterwerk der Architektur. Muss ein Vermögen gekostet haben!
		05.oli3.22^		Кхм...|Hm...

	05.oli3.22@147@Макс, а ты не хочешь снять шорты? А то я одна тут голая, это так неловко...|Willst du deine Shorts ausziehen, Max? Ich will nicht der Einzige sein, der nackt ist, das ist irgendwie peinlich.
		05.oli3.23^		Легко!|Einfach!

	05.oli3.23@43@Не надо! Потом станете меня уговаривать раздеться, нет, я уже почти трезвая!|Nicht doch! Du fragst mich als nächstes, ich bin schon fast nüchtern!
		05.oli3.24^		Это легко исправить!|Das ist einfach zu lösen!

	05.oli3.24@41@Нет, не в этот раз... Так можно напиться и утонуть. Ты же знаешь, что на пляжи не пускают пьяных людей...|Nein, ein anderes Mal.... Ich will mich nicht zu sehr betrinken und ertrinken. Du weißt, dass betrunkene Leute nicht in den Pool dürfen.
		05.oli3.25^		Да ты выпила совсем чуть-чуть...|Du hast kaum etwas getrunken!

	05.oli3.25@135@Если что - я тебя спасу, Лиза! Даже готов сделать искусственное дыхание! Ну и не только...|Keine Sorge, Lisa, ich rette dich, wenn du ertrinkst! Ich bin sogar bereit, dir Mund-zu-Mund-Beatmung zu geben! Und mehr....
		05.oli3.26^		А вот кто-то другой выпил чуть больше...|Du bist noch betrunkener als sie.

	05.oli3.26@43@Я бы рада, конечно, но тонуть я не собираюсь сегодня, так что и пить хватит. Может быть, пойдём спать уже, кстати? А то уже поздно...|Das würde ich gerne, aber ich will heute nicht ertrinken, also hören wir auf zu trinken. Vielleicht sollten wir schon schlafen gehen? Es ist spät....
		05.oli3.27^		Оливия, ты как?|Was denkst du, Olivia?

	05.oli3.27@140@Ну пойдём, я не против. В прошлый раз мы же никого не побеспокоили? Никто не жаловался?|Gehen wir, es macht mir nichts aus. Haben wir das letzte Mal, als wir hier waren, jemanden belästigt? Hat sich jemand beschwert?
		05.oli3.28^		Нет, я даже не заметил как вы ушли...|Ich habe nicht mal bemerkt, dass du gegangen bist.

	05.oli3.28@142@Ну, мы старались никого не будить. Ладно, пойдём.|Wir haben versucht, vorsichtig zu sein. Nun, lass uns gehen.
		05.oli3.29^		Хорошо.|Okay

	05.oli3.29@41@m-op-20@Ну что, все как обычно? Я сейчас только переодену купальник и вернусь...|Wir werden wie immer schlafen, oder? Lass mich nur kurz umziehen....
		05.oli3.30^		Паранджу не забудь, раз стесняешься...|Vergiss die Burka nicht, wenn du so schüchtern bist.

	05.oli3.30@43@А вот и не стесняюсь! К тому же, все всё видели, а Алекс даже похвалил меня за мою... незастенчивость. Вот!|Ich bin nicht schüchtern! Jeder hat sowieso schon etwas gesehen, und Alex hat sogar meine.... Kühnheit gelobt.
		05.oli3.31^		Ого! Алекс, да ты умеешь делать комплименты!|Wow! Du weißt definitiv, wie man Komplimente macht, Alex!

	05.oli3.31@41@m-op-26@Сегодня буду спать так. Макс, только не... ну ты понял. В общем, всем спать, свет только выключите кто-нибудь... Ой, я опять забыла, что Оливия боится темноты... Ладно, я спать...|So werde ich heute schlafen. Versuch nichts Komisches, Max. Lasst uns schlafen gehen, Leute, macht einfach das Licht aus.... Nein, warte, ich vergaß, dass Olivia Angst vor der Dunkelheit hat.... Nun, Gute Nacht, alle zusammen.
		05.oli3.32^		Угу, я тоже...|Gute Nacht

	05.oli3.32@142@m-op-34@... Алекс, ну нет... Мы же здесь не одни... Говори тише, они же ещё не спят... Ладно, попозже...|Nein, Alex.... Wir sind nicht allein.... Sei still, sie sind noch wach.... Gut, aber später.
		05.oli3.33^		<i>любопытно...</i>|<i>etwas läuft....</i>

	05.oli3.33@4@m-op-37@<i>Сделаю-ка я вид, что сплю. Похоже, эта парочка что-то задумала... Интересно, что... Лиза точно уже уснула, а Оливия и Алекс делают только вид... Ну подождём...</i>|<i>Ich denke, ich tue einfach so, als würde ich schlafen. Sieht so aus, als ob die beiden etwas Interessantes machen werden. Ich frage mich, was.... Lisa schläft schon, aber Olivia und Alex tun nur so. Lasst mich ein bisschen warten.</i>
		05.oli3.34^		<i>жд?ть...</i>|<i>warten</i>

	05.oli3.34@3@m-op-38@<i>Ого... Так и знал, что удумали что-то! Может быть, Оливия это делает специально, чтобы меня подразнить? Хотя, она же не знает, что я не сплю... Или знает?</i>|<i>Wow.... Ich wusste, dass sie etwas vorhatten! Macht Olivia das nur, um mich zu ärgern? Sie sollte nicht wissen, dass ich wach bin.... Stimmt's?</i>
