# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
	kate.smoke.12.step.5@150@Ты знаешь, Макс... Если будешь надоедать, то мы можем и отказаться от этой идеи. Просто не надоедай. Знай своё место и появляйся только в нужный момент. И не спрашивай в какой.|Wenn du uns zu sehr belästigst, lassen wir dich vielleicht für immer weg. Sei einfach nicht aufdringlich. Kennst du deinen Platz und zeigst dich nur, wenn du nicht im Weg bist. Und frage nicht, wann es in Ordnung sein wird.
		kate.smoke.12.step.6^			Ох, как сложно...|So kompliziert....

	kate.smoke.12.step.6@159@Ну, мы, девочки, сложные создания. Так что, либо терпи, либо вали. В данный момент предлагаю последнее. Лично я иду спать.|Nun, wir sind Mädchen, wir sind kompliziert. Also nimm es oder lass es. Im Moment schlage ich letzteres vor, weil ich schlafen gehe.
		leave!set_kate.talk_13!time^	Понял. Спокойной ночи...|gute Nacht



# --- 0.4: Катя курит, обсуждаем секс сцену|Rauchende Alice, Diskussion über Sex

	kate.smoke.14.step.1@151@Конечно... Как всегда...|Wie immer....
		kate.smoke.14.step.2^			А чего Алиска не с тобой?|Und warum ist Alice nicht bei dir?

	kate.smoke.14.step.2@152@Шутишь? Я её так затрахала, что она спит, как убитая... А ты чего хотел? Опять не спится?|Willst du mich verarschen, ich habe sie in den Wahnsinn gevögelt, sie schläft.... Was willst du, kannst du nicht mehr schlafen?
		kate.smoke.14.step.3^			Ну, так. Подумал, вдруг...|So was in der Art. Ich dachte....

	kate.smoke.14.step.3@153@Что, уже продолжение хочешь? Ненасытный! Думаю, тебя было слишком много в последнее время... Хотя... Ты можешь изменить моё мнение...|Was, willst du weitermachen? Du bist so unersättlich! Ich denke, das letzte Mal war es zu viel von dir.... Obwohl.... Du kannst meine Meinung ändern....
		kate.smoke.14.step.4^			Как?|Wie?

	kate.smoke.14.step.4@151@Алиска упоминала, что ты вроде шаришь в инете и можешь почти всё достать. Это так?|Alice hat mir gesagt, dass du dich im Internet auskennst und fast alles bekommen kannst. Ist das wahr?
		kate.smoke.14.step.5^			Ну. Могу попробовать...|Nun, ich kann es versuchen....
		kate.smoke.14.step.5^			Конечно!|Natürlich!

	kate.smoke.14.step.5@152@Супер! Мне нужно достать кое-что не совсем легальное... Справишься?\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Großartig. Ich will etwas nicht ganz Legales. Kannst du es tun??\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		kate.smoke.14.step.6^			Что именно?|Was willst du denn?

	kate.smoke.14.step.6@159@А сам как думаешь? Травку, конечно! Оплату не гарантирую, ну, точнее, не деньгами. Ну ты понял. В общем, если захочешь повторить с Алиской под моим присмотром, то всё организую, если и ты постараешься для меня...|Was meinst du dazu? Ich will etwas Gras! Ich werde nicht bezahlen, oder, genauer gesagt, ich werde dich nicht mit Geld bezahlen, wenn du weißt, was ich meine. Wenn du also deine Alice-Erfahrung wiederholen willst, können wir das tun, wenn du das für mich tust....
		kate.smoke.14.step.7^			А что Алиса про это скажет?|Und was wird Alice dazu sagen?

	kate.smoke.14.step.7@151@Ничего. Потому-что ты ей не скажешь. Или больше не ощутишь её нежный ротик на своём огромном члене... Ты меня понял? В общем, я всё сказала, ты думай. Как надумаешь, знаешь, где меня найти... Ну всё, споки!|Nichts, weil du es ihr nicht sagen willst. Oder du wirst ihren schönen Mund an deinem riesigen Schwanz nicht spüren.... Hast du mich verstanden? Wie auch immer, ich habe alles gesagt, jetzt liegt es an dir. Du weißt, wo du mich findest.\nGute Nacht.
		leave!set_kate.talk_16!set_poss.ganja_1!time^		Ага. Спокойной ночи!|Ja, gute Nacht



# --- 0.4: Катя курит, Макс принёс траву|Kate raucht, Max hat Gras.

	kate.smoke.16.step.1@151@Ну как, достал то, о чём мы договаривались?|Also, hast du bekommen, worum ich dich gebeten habe?
		item.ganja=-5&kate.smoke.16.step.2^			Конечно! Держи...|Natürlich, Hier
		leave!lock^									Ещё нет...|Noch nicht

	kate.smoke.16.step.2@159@О, супер! Молодец, Макс. Ну что, я всё организую. Можешь в следующий раз приходить... Ну а сейчас я иду спать. Ладно, споки!|Großartig! Gute Arbeit, Max. Nun, ich werde alles organisieren, du kannst beim nächsten Mal mitmachen.... Nun, ich gehe jetzt ins Bett, Gorilla-Nacht.
		leave!set_kate.talk_15!add_dcd.alisa.smoke.ganja_7!set_item.ganja_-1!set_girlz.scene_14!set_poss.ganja_8!time^		Супер! Спокойной ночи.|Großartig! Gute Nacht



# --- 0.4: Катя курит, Макс договаривается о травке|Kate raucht, Max redet von Gras.

	kate.smoke.17.step.1@151@Какое дело?|Worüber?
		girlz.scene=13&kate.smoke.17.step.night^	Можешь ещё организовать вечер с Алисой?|Kannst du einen weiteren Abend mit Alice organisieren?
		kate.smoke.17.step.nothing^					Нет, ничего...|Nein, nichts

	kate.smoke.17.step.nothing@150@Что-то я устала. Пойду спать. Ладно, споки!|Ich bin müde, also gehe ich schlafen. Gute Nacht!
		leave!time^									Спокойной ночи...|Gute Nacht

	kate.smoke.17.step.night@152@Ты же знаешь, что мне нужно. Принесёшь травку, будет тебе вечер...|Du weißt, was ich will. Du besorgst mir Gras, ich ermögliche dir den Abend mit Alice....
		item.ganja=-5&kate.smoke.17.step.give^		У меня как раз есть. Держи...|Ich habe etwas bei mir. Hier.
		kate.smoke.17.step.nothing^					Хорошо, понял...|Okay, ich hab's kapiert.

	kate.smoke.17.step.give@159@О, супер! Молодец, Макс. Ну что, я всё организую. Можешь в следующий раз приходить... Ну а сейчас я иду спать. Ладно, ?поки!|Großartig!  Gute Arbeit, Max. Du kannst das nächste Mal zu uns kommen.... Ich gehe jetzt ins Bett. Gute Nacht!
		leave!add_dcd.alisa.smoke.ganja_7!set_item.ganja_-1!set_girlz.scene_14!time^		Супер! Спокойной ночи.|Großartig! Gute Nacht



# --- 0.5: Новый эвент курящей Алисы|Neue Veranstaltung mit rauchender Alice

	alisa.newsmoke@20@e-alisa-notop-1@Макс, поглазеть пришёл?|Bist du gekommen, um mich anzustarren?
		dcd.alisa.smoke.ganja>0&alisa.gan.1^						Я так понимаю, ты куришь не обычные сигареты?|Das sieht nicht nach Zigaretten aus.
		dcd.alisa.smoke.ganja=0&alisa.sig.1^						Не боишься, что мама накажет если узнает?|Hast du keine Angst, dass Mom dich bestraft, wenn sie es herausfindet?

	alisa.gan.1@23@Макс, что ты хочешь?|Was willst du, Max?
		adom=0&alisa.gan.2^											Я хочу тебя наказать!|Ich will dich bestrafen.
		adom>0&11.ga.0^												Я хочу тебя наказать!|Ich will dich bestrafen.

	alisa.gan.2@22@Макс! Какой смысл мне на это соглашаться, если мама всё равно накажет?|Und warum sollte ich zustimmen, wenn ich so oder so bestraft werde?
		alisa.gan.3^												Сомневаюсь, что мама отшлёпает тебя как обычно...|Ich bezweifle, dass Mom dich dafür bestrafen wird....
