# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
	12.di.4@58@d-om-1@Макс... Мне кажется, тебе тут грустно. И пока нет Оливки... Ты не возражаешь, если я войду?|Hi, Max... I was thinking you're probably bored out of your mind waiting for Livvy... Do you mind if I come in?
		12.di.5^		Нет, конечно!|Of course not, it's your house

	12.di.5@51@d-om-25@Можно присесть рядом с тобой? Конечно, если ты не против...|I'll sit next to you, if you don't mind...
		12.di.6^		Конечно...|Of course

	12.di.6@55@d-om-27@Я подумала, что нам стоит лучше познакомиться. Должна же мама знать, с кем встречается её дочь, верно?|I was thinking we should get to know each other. I'm supposed to know my daughter's boyfriend, right?
		12.di.7^		В-верно...|R-right...

	12.di.7@52@Да, она мне рассказала, что теперь ты её парень и вы встречаетесь... Ну, как бы... Да, так она и сказала. У вас это серьёзно?|Oh, she told me about you two, by the way. She said he's your boyfriend now. Sorta. That's what she said. Are you two serious?
		12.di.8^		Не знаю...|I don't know...
		12.di.8^		Ну да...|I think so...

	12.di.8@51@Это звучит как-то неуверенно... Ты смотри, если я закрываю глаза на мелкие шалости, это не значит, что позволю всё...|That doesn't sound very convincing... Just because I'm fine with some fooling around doesn't mean I can let you do anything you want.
		12.di.9^		Я ничего такого...|I wasn't going to...

	12.di.9@55@Испугался? Хорошо. Но ты расслабься. Я не какая-то стерва и сама была молодой... Некоторые даже считают, что до сих пор...|Are you scared? Good. You shouldn't worry, though. I'm not some crazy stuck-up bitch, I was young once... Some might even say I'm still is!
		12.di.10^		Это точно!|They got that right!

	12.di.10@53@Ах, какой джентльмен! Я буду не против ваших отношений, если они будут построены на чём-то большем, чем... простое влечение, понимаешь?|Oh, a gentleman. I'm not against your relationship, as long as they're based on something more than just... you two lusting for each other.
		12.di.11^		Но...|But...

	12.di.11@51@Но как меня убедить, что у вас серьёзные отношения и дело не только в сексе? Ты это хотел спросить?|But how are you supposed to convince me you want serious relationship with your daughter, right? Is that what you were going to ask?
		12.di.12^		Э... ну да...|Something like this...

	12.di.12@56@Ага, значит, ты планируешь заниматься сексом с моей Оливкой?!|Aha, so you <i>are</i> planning to have sex with my Livvy!
		12.di.13^		Блин...|Crap...

	12.di.13@55@Как я тебя подловила, а? Всё в порядке, можешь выдыхать! Я не против секса. Наоборот, считаю его очень важным... Но должно быть что-то ещё...|I've got you now! You don't have to be afraid, Max, I'm just joking. I'm fine with sex. In fact, I find it very pleasant experience... But your relationship can't be built exclusively on sex.
		12.di.14^		Кажется, я теперь понимаю...|I understand

	12.di.14@57@d-om-28@Вижу, ты оценил мой халатик... Оливка в нём иногда бегает, а мне мал... Но лучше так, чем совсем голая, верно?|I see you appreciate my robe... Livvy is the one usually wearing it, it's a bit small... But it's better than nothing, right?
		12.di.15^		Ну...|Well...

	12.di.15@51@d-om-29@Мне нравится, как ты себя ведёшь и реагируешь, Макс... Думаю, ты прошёл экзамен...|I like your reaction, Max. I think you passed the exam...
		12.di.16^		Экзамен?|The exam?

	12.di.16@55@Ну да. Я решила проверить тебя и посмотреть на твою реакцию... Вполне естественно и предсказуемо... Но в хорошем смысле...|Yes, I wanted to test you and see how you'll react. Looks like you have a natural reaction... In a good way.
		12.di.17^		И что это значит?|What does that mean?

	12.di.17@53@Это значит, что я не буду возражать против ваших отношений. Наоборот, могу даже помочь немного... Но я буду следить за тобой. Так что...|That means I'm not going to be in a way of your relationship with my daughter. I might even help you out a little... But remember, I'm watching you.
		12.di.18^		Я всё понял...|Okay, I understand

	12.di.18@144@d-om-30@И что здесь происходит? Мам, тебе стало скучно и ты решила... поболтать с моим парнем?|What's going on in here? Were you bored and decided to... chat with my boyfriend?
		12.di.19^		<i>далее</i>|<i>continue</i>

	12.di.19@58@d-om-31@Оливка, я просто решила как-то развлечь Макса, пока он ждёт тебя. Ты пришла и я удаляюсь. Хорошего вечера!|Don't worry, Livvy, I was just entertaining our guest while you weren't home. Now that you're here I'll leave you two alone. Have a good evening.
		12.di.20^		<i>далее</i>|<i>continue</i>

	12.di.20@141@d-om-2@Она к тебе приставала? Макс, только честно!|Did she try anything? Be honest, Max!
		12.di.21^		Нет, ничего такого...|No, nothing like that...

	12.di.21@140@Знаешь что, пойдём на улицу поговорим, а то она любит подслушивать...|Let's go talk on the street, I don't want her to eavesdrop on us.
