# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
# --- 0.4: Разговор с Кирой насчёт случая ночью|Gespräch mit Kira nach dem Fangen mit Eric

	kira.wtf.eric.init@0@Что это было ночью?!|Was zum Teufel ist in dieser Nacht passiert?
	kira.wtf.eric@109@Макс... Успокойся. Просто... так получилось. Взрослые иногда...|Max.... Entspann dich, es ist einfach.... passiert...
		kira.wtf.eric.step.2^			Блин, тётя Кира, говори прямо, что случилось?!|Komm schon, Tante Kira, sag mir einfach, was los ist.

	kira.wtf.eric.step.2@107@Ладно. Врать у меня плохо получается. В общем, Эрик нас с тобой записал на свой телефон. Не знаю когда и как это получилось, но у него есть видео, где я, мы, в общем...|Schön. Eric hat ein Video von uns gemacht. Ich weiß nicht, wann es passiert ist, aber er hat ein Video von uns, nun ja....
		kira.wtf.eric.step.3^			Что? Он тебя шантажирует?!|Was!? Also erpresst er dich?

	kira.wtf.eric.step.3@112@Ну, типа того... Если я не буду с ним трахаться, то он покажет видео твоей маме и ты... прямиком отправишься в летний лагерь, откуда и до армии не далеко...|So was Ähnliches.... Wenn ich nicht mit ihm schlafe, zeigt er das Video deiner Mom und du gehst ins Lager....
		kira.wtf.eric.step.4^			Значит, это ради меня?|Also tust du es für mich?

	kira.wtf.eric.step.4@101@Конечно, Макс! Ну ещё... Меня, скорее всего, тоже выгонят и боюсь отношения с твоей мамой у меня будут испорчены навсегда... А я этого очень не хочу...|Natürlich, Max! Nun.... Mom würde mich wahrscheinlich auch rauswerfen, ich will meine Beziehung zu meiner Schwester nicht ruinieren....
		kira.wtf.eric.step.5^			И что делать?|Also was jetzt?

	kira.wtf.eric.step.5@103@Ну я делаю, что могу... и умею... Что ещё остаётся?|Nun, ich tue, was ich schon kann, was es sonst noch gibt?
		kira.wtf.eric.step.6^			И тебе это нравится?|Und gefällt es dir?

	kira.wtf.eric.step.6@108@Макс... Я никогда не отказывалась потрахаться лишний раз... Мне это нравится, конечно... Хотя, твой член мне нравится гораздо больше, да и ты... сам... если ты об этом...|Max.... Ich bin nicht gegen die Idee, Sex zu haben, weißt du.... Also ja, ich mag es.... Natürlich mag ich deinen Schwanz viel mehr, wenn du das fragst....
		kira.wtf.eric.step.7^			Мне это всё не нравится...|Das gefällt mir nicht.

	kira.wtf.eric.step.7@101@Тогда, только ты сможешь с ним договориться о чём-то. Ну а мне пришлось согласиться на это... Так что, вся надежда на тебя, Макс...|Vielleicht kannst du einen Deal mit ihm machen? Ich musste dem zustimmen, also bist du meine einzige Hoffnung, Max.
		leave!set_poss.sac_3^			Ладно, я понял...|Ich verstehe



# --- 0.4: Макс снова видит Киру с Эриком (периодический эвент)|Max fängt Eric und Kira, periodisches Ereignis

	kira.fuck.eric@8@<i>Блин... Опять они тут... Интересно, если маму разбудить и позвать сюда, что будет? Эрика точно выгонят! Но блин... и Киру тоже и меня... Нет, плохая идея...</i>|<i>Scheiße, sie sind wieder dabei.... Ich frage mich, was passiert, wenn ich Mom hole? Eric wird sicher weg sein! Aber Kira und ich wahrscheinlich auch.... Ich kann es nicht riskieren.</i>
		kira.fuck.eric.step.2^			Кира...|Kira...
		leave!lock^						<i>не мешать</i>|<i>lass sie in Ruhe</i>

	kira.fuck.eric.step.2@112@n-ek-4@Макс? Ты почему не спишь? Поздно же уже... Тебе явно... пора... спать...|Max? Warum schläfst du nicht? Es ist spät.... Du solltest gehen....
		kira.fuck.eric.step.3^			Я маму позову!|Ich werde Mom holen!
		leave!sleep^					<i>идти спать</i>|<i>schlafen gehen</i>

	kira.fuck.eric.step.3@86@Кира, не парься. Пусть зовёт кого хочет. Он отлично понимает, что если мама узнает, то конец нам всем, включая его самого! Так что, не отвлекайся, у тебя хорошо получается...|Ignorier ihn, Kira. Er kann rufen, wen er will. Er weiß, dass wir da alle mit drin stecken. Konzentriere dich, du machst das toll....
		leave!lock^						<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Советуемся с Кирой, что делать с Эриком, а то достал!|Kira zu fragen, was er mit Eric machen soll.

	kira.sov.eric.init@0@Мне нужен совет насчёт Эрика...|Ich brauche einen Rat wegen Eric.
	kira.sov.eric@101@Я тебя слушаю, Макс? Хочешь ему насолить?|Ich höre zu. Willst du ihm den Arsch aufreißen, Max?
		kira.sov.eric.very^				Очень!|Ja!

	kira.sov.eric.very@113@Да, я тебя понимаю... Но не понимаю, чем могу тебе помочь.|Ich verstehe.... Aber ich weiß nicht, welche Art von Hilfe du von mir willst.
		kira.sov.eric.very.step.2^		Что мне сделать, чтобы он поубавил свой пыл?|Was könnte ich tun, um ihn aufzuhalten?

	kira.sov.eric.very.step.2@114@Ты имеешь в виду то, о чём я думаю? Если да, то ты очень... суров к нему. Думаешь, он этого заслуживает?|Denkst du, was ich denke? Wenn ja, dann bist du definitiv.... hart. Denkst du, er verdient es?
		kira.sov.eric.very.step.3^		Не уверен, что понял тебя...|Ich bin mir nicht sicher, ob ich verstehe, wovon du sprichst.

	kira.sov.eric.very.step.3@113@Ну... ты хочешь, чтобы он перестал чувствовать себя мужчиной, верно?|Nun.... du willst, dass er sich weniger wie ein Mann fühlt, richtig?
		kira.sov.eric.very.step.4^		А так можно?|Kann ich das machen?

	kira.sov.eric.very.step.4@114@Конечно, можно! Проще всего с помощью специальных таблеток. Если их добавлять в еду мужчине, то... у него могут начаться проблемы, если ты меня понимаешь...|Natürlich kannst du das! Der einfachste Weg sind die Pillen. Wenn du sie mit seinem Essen mischst, dann hat er ein paar Potenzprobleme, wenn du weißt was ich meine....
		kira.sov.eric.very.step.5^		Ого... А что за теблетки?|Huh.... Und was für Pillen sind das?

	kira.sov.eric.very.step.5@113@Название я тебе конечно скажу и ты сможешь найти их в интернете. Стоят дорого. Нужна примерно треть банки для одного раза. Да, и действуют несколько часов всего. Но, Макс... ты уверен? Что будет с тобой, если Эрик узнает?|Ich kann dir den Namen nennen und du kannst sie online bestellen. Sie sind teuer, und man braucht etwa ein Drittel einer Flasche für einmal. Und es funktioniert nur für ein paar Stunden. Aber Max.... Bist du dir da sicher? Was denkst du, wird mit dir passieren, wenn er es herausfindet?
		kira.sov.eric.very.step.6^		Ну ты же не скажешь?|Du wirst es ihm nicht sagen, oder?

	kira.sov.eric.very.step.6@114@Конечно, я не скажу! Но... тебе понадобится помощь Алисы. Она же обычно готовит вечером и как раз Эрик приходит на ужин довольно часто, верно?|Natürlich nicht! Aber du brauchst Hilfe von Alice. Sie ist diejenige, die das Abendessen kocht, und Eric isst hier ziemlich oft.
