# --- Алиса спит|Alice schläft.

		blop=0&alisablogonce=0&alisa.newblog.window^			<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		blop=0&alisablogonce>0&alisa.newblog.no^				<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		blop=0&alisa.newblog.knock^								<i>постучать в дверь</i>|<i>an die Tür klopfen</i>
		blop=3&dcd.blop=0&07.acd.1^								<i>открыть дверь</i>|<i>die Tür öffnen</i>
		blop=4&dcd.blop=0&07.ace.1^								<i>открыть дверь</i>|<i>die Tür öffnen</i>
		blop=5&dcd.blop=0&07.acf.1^								<i>открыть дверь</i>|<i>die Tür öffnen</i>
		blop=6&dcd.blop=0&07.acg.0^								<i>открыть дверь</i>|<i>die Tür öffnen</i>
		blop=7&dcd.blop=0&07.ach.1^								<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^												<i>уйти</i>|<i>verlassen</i>

	alisa.newblog.window@120@n-blog-0@<i>Вау! Алиса крутит задом перед камерой в одном нижнем белье! Может быть, отсюда понаблюдать? Отсюда вид лучше, чем через камеру...</i>|<i>Wow! Alice zeigt ihren Körper vor der Kamera nur in Unterwäsche! Soll ich zusehen? Diese Sichtweise ist besser als die der Kamera....</i>
		alisa.newblog.window.bad^						<i>наблюдать</i>|<i>beobachten</i>

	alisa.newblog.window.bad@27@n-blog-1@Что?! Макс! Я тебя сейчас убью! Ну-ка иди сюда, ты у меня получишь!|Was!? Max! Ich werde dich umbringen! Komm her, du kriegst es jetzt!
		leave!set_alisablogonce_1!lock^					<i>Бежать!</i>|<i>Lauf!</i>

	alisa.newblog.no@8@<i>Ой, нет... плохая идея. В прошлый раз мне повезло сбежать, но вдруг поймает... Нет, не буду лишний раз рисковать...</i>|<i>Nee, keine gute Idee.... Letztes Mal hatte ich Glück zu fliehen, aber wenn sie mich erwischt.... Ich will es nicht riskieren.</i>
		alisa.newblog.knock^							<i>постучать в дверь</i>|<i>an die Tür klopfen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.newblog.knock@121@<b>Алиса:</b> Кто там? Я занята! Вообще, меня в это время не беспокоить! Уходите!|<b>Alice:</b> Wer ist da? Ich bin beschäftigt! Und störe mich nicht um diese Zeit! Geh!
		spun.alisa>0&atouch<3&08.eah.0^					Мне надо тебя наказать...|Bestrafungszeit!
		spun.alisa>0&atouch>2&08.eai.0^					Мне надо тебя наказать...|Bestrafungszeit!
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Мама спит одна голая, пока Эрик где-то шатается|Ann schläft allein nackt, während Eric woanders ist.

	mom.sleep.naked@121@Тихо. Никакого движения... Само собой, что в это время все спят... Может быть, не стоит мешать?|Es ist ruhig. Alle schlafen.... Vielleicht sollte ich mich nicht einmischen?
		mom.sleep.naked.voyeur^						<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.sleep.naked.voyeur@120@n-malone@Ого! Мама спит абсолютно голая! Жаль, отсюда не разглядеть всё в деталях... Да и темно... Вот бы у меня был фонарик...|Wow! Mama schläft völlig nackt! Schade, dass ich von hier aus nicht viel sehen kann.... Und es ist sowieso dunkel.... Wenn ich nur eine Taschenlampe hätte....
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Мама спит одна голая, пока Эрик на балконе Алисы. Нельзя подглядывать за мамой|Ann schläft alleine nackt, während Eric auf Alice guckt, also kann Max nicht auf Ann gucken.

	mom.sleep.naked.deny@121@Тихо. Никакого движения... Само собой, что в это время все спят... Может быть, не стоит мешать?|Es ist ruhig. Alle schlafen.... Vielleicht sollte ich mich nicht einmischen?
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Эрик трахает Алису ночью. Видимо, напоил перед этим...|Eric ist in der Nacht bei Alice und fickt sie.

	eric.fuck.alisa@121@Блин! Похоже, Эрик развлекается там с Алисой! Вот бы заглянуть, вдруг ей нужна помощь? Но Эрик сказал, что если меня заметит, то всё расскажет и покажет маме про нас с Кирой... Блин|Scheiße! Sieht aus, als würde Eric Alice ficken! Wenn ich nur nach ihr sehen könnte, was, wenn sie Hilfe braucht? Aber Eric sagte, wenn er mich beim Spannen erwischt, wird er Mom von Kira und mir erzählen.... Scheiße!
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Мама и Эрик в комнате собрались потрахаться, но у него не стоит|Eric und Ann versuchen zu ficken, aber Eric kriegt es nicht hoch.

	mom.eric.door.fuckimp@121@Обычно в это время мама и Эрик трахаются. Но сегодня у него должны возникнуть некоторые проблемы... Интересно, что там?|Normalerweise haben Eric und Mom diesmal Sex. Aber heute sollte er damit Probleme haben.... Ich frage mich, was da drinnen los ist.
		mom.eric.door.fuckimp.voyeur^				<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.eric.door.fuckimp.voyeur@4@n-eper-1@Отлично! Всё как я и думал... Жаль, плохо слышно. Не ясно мама успокаивает Эрика или он оправдывается?|Großartig! Genau wie ich dachte.... Schade, dass ich nichts höre. Ich frage mich, ob Mom versucht, ihn zu beruhigen, oder versucht er Ausreden zu finden?
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Эрик принимает душ после того, как у него появились проблемы|Eric nimmt eine Dusche, nachdem er nicht in der Lage war, hart zu werden.

	eric.showerimp@121@Кажется, там Эрик... Интересно, он пытается что-то сделать со своей проблемой или рыдает под душем, пока никто не слышит? Не буду выяснять. Буду думать, что второе...|Scheint so, als wäre Eric drinnen. Ich frage mich, ob er versucht, das Problem zu lösen. Oder weint er unter der Dusche, damit ihn niemand sehen kann? Ich hoffe auf Letzteres.
		leave!lock^									<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Макс пытается найти бумажник в комнате, пока мама и Эрик спят (первая попытка, неудачная)|Max sucht Erics Brieftasche, erster Versuch, Misserfolg

	max.try.steal.wallet@0@n-spy-1@<i>Отлично. Кажется, меня никто не заметил... Теперь нужно очень тихо порыться в вещах Эрика и найти его бумажник... Лишь бы он меня не заметил...</i>|<i>Toll, niemand hat mich beim Betreten des Zimmers bemerkt.... Jetzt muss ich ganz leise nach Erics Brieftasche in seinen Sachen suchen.... Ich hoffe, dass mich niemand erwischt....</i>
		max.try.steal.wallet.step.2^				<i>искать бумажник</i>|<i>nach der Brieftasche suchen </i>

	max.try.steal.wallet.step.2@94@Что? Какого хрена ты тут делаешь, Макс?! Я тебя сейчас при... Дорогая? Ты тоже проснулась? Смотри, Макс опять пытается украсть мои деньги! А я тебе говорил!|Was zum Teufel machst du hier, Max? Ich werde.... Schatz? Du bist auch aufgewacht? Schau, Max versucht wieder mein Geld zu stehlen! Ich hab's dir gesagt!
		max.try.steal.wallet.step.3^				Да я просто...|Ich hab nur....

	max.try.steal.wallet.step.3@62@Что ты просто? Ошибся дверью? За это, Макс, я тебя завтра накажу. Всё, выметайся отсюда!|Was, bist du aus Versehen in die falsche Tür gegangen oder so? Ich werde dich morgen bestrafen, jetzt verschwinde!
		leave!set_max.pun_1!set_max.punreason_3!add_eric.mood_-100!add_mom.mood_-100!lock_momroom_3!add_mom.inf_25!set_poss.wallet_3^			?звините...|Es tut mir leid....


# --- 0.4: Макс снова пытается найти бумажник. На этот раз есть шанс|Max ist wieder auf der Suche nach einer Brieftasche, jetzt hat er die Chance dazu.

	max.can.steal.wallet@0@n-spy-1@<i>Кажется, все крепко спят... И меня пока никто не заметил... Надо найти этот чёртов бумажник!</i>|<i>Sieht aus, als ob alle schlafen.... Ich muss diese verdammte Brieftasche finden, bevor mich wieder jemand erwischt!</i>
		eric.mustsleep=0&max.can.steal.wallet.bad^	<i>искать бумажник</i>|<i>nach der Brieftasche suchen </i>
		eric.mustsleep=1&max.can.steal.wallet.good^	<i>искать бумажник</i>|<i>nach der Brieftasche suchen </i>
		leave!lock^									<i>тихо уйти</i>|<i>leise verschwinden</i>

	max.can.steal.wallet.bad@94@Что? Какого хрена ты опять тут делаешь, Макс?! Ань, смотри, твой сынок опять пытается что-то украсть! Я тебе говорил, что он охамел, а ты не верила...|Was zum Teufel machst du schon wieder hier? Schau, Ann, dein Sohn versucht wieder etwas zu stehlen! Ich sagte dir, er ist außer Kontrolle, aber du würdest mir nicht glauben....
		max.can.steal.wallet.bad.2^					Это не то, что вы думаете...|Das ist nicht das, wonach es aussieht....

	max.can.steal.wallet.bad.2@62@И что же это? Хотя, я не хочу даже знать. Просто убирайся, не мешай нам спать! А утром я тебя накажу!|Ich will es nicht hören, Max. Verschwinde einfach, ich werde dich morgen früh bestrafen.
		leave!set_max.pun_1!set_max.punreason_3!add_eric.mood_-100!add_mom.mood_-100!lock_momroom_3!add_mom.inf_25^				<i>уйти</i>|<i>verlassen</i>

	max.can.steal.wallet.good@4@n-found@<i>Вот же он! Я так и знал, что Эрик всё это специально подстроил... Интересно, что здесь внутри?</i>|<i>Hier ist es! Ich wusste, dass Eric lügt.... Ich frage mich, was da drin ist....</i>
		max.can.steal.wallet.good.2^				<i>порыться в бумажнике</i>|<i>in die Brieftasche schauen</i>

	max.can.steal.wallet.good.2@13@<i>Жаль... денег нет. Вообще, пара каких-то карточек для скидок... Ой, тут в отдельном кармашке ещё что-то есть!</i>|<i>Hier gibt es kein Geld.... Nur ein paar Gutscheine. Hmmm.... Da ist etwas in einer kleinen Tasche!</i>
