# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

	liza.oli.2nd.next.3a@43@И по этой причине Оливия не носит нижнее бельё. Говорит, что с радостью разделась бы, если бы её за это не выгнали бы из школы...|Das ist also der Grund, warum sie keine Unterwäsche trägt. Sie sagte, sie würde sich gerne komplett ausziehen, wenn es nicht gegen die Schulregeln verstößt.
		liza.oli.2nd.next.4^	А мне эта Оливия нравится всё больше и больше!|Ich mag sie immer mehr!

	liza.oli.2nd.next.4@41@Ещё один адепт в её секте объявился! Все вы парни думаете одинаково и только об одном...|Noch ein Fanboy.... Ihr denkt alle über eine Sache nach....
		liza.oli.2nd.next.5^	Постой, а ты разве не только об Алексе думаешь?|Warte, denkst du nicht nur an deinen Alex?

	liza.oli.2nd.next.5@43@Ладно, проехали... В общем, мы разговорились и она рассказала, что живёт тут недалеко, у них тоже большой дом и она больше всего любит воду и солнце...|Ich... Wie auch immer, wir haben geredet und Olivia sagte mir, dass sie in der Nähe wohnt, sie haben auch ein großes Haus wie unseres und sie liebt Wasser und Sonne....
		liza.oli.2nd.next.6^	Видимо, бассейн у них тоже есть?|Ich schätze, sie haben auch einen Pool?

	liza.oli.2nd.next.6@48@Есть. И дом, как я поняла, у них очень шикарный. Ну, она не из бедной семьи, мягко говоря... |Ja. Außerdem, wie ich es verstehe, haben sie ein sehr schönes Haus. Sie ist definitiv nicht arm. Überhaupt nicht.
		liza.oli.2nd.next.7^	Значит, заманить её бассейном не выйдет...|Also werden wir sie nicht mit einem Pool hierher locken können....

	liza.oli.2nd.next.7@43@Не совсем так. У них какая-то проблема с их бассейном и там или грибок завёлся или какие-то насекомые, я не поняла, но они уже давно не купаются там, боятся...|Eigentlich haben sie ein Problem mit einem Pool, ein paar Algen oder so, ich weiß nicht. Jedenfalls benutzen sie ihren Pool nicht.
		liza.oli.2nd.next.8^	Так если они богатые, могут починить, почистить, убрать проблемы...|Wenn sie so reich sind, warum können sie dann nicht alles reparieren?

	liza.oli.2nd.next.8@41@Ага, только этим обычно её папа занимается, а сейчас он с ними не живёт... Так бассейн у них и пустует...|So wie ich die Situation verstehe, war es normalerweise der Job ihres Vaters, aber er lebt nicht mehr bei ihnen, also ist ihr Pool leer.
		liza.oli.2nd.next.9^	Лиза! Надеюсь, ты сказала, что у нас отличный бассейн без насекомых?|Lisa! Ich hoffe, du hast ihnen gesagt, dass wir einen schönen sauberen Pool haben, ohne Probleme?

	liza.oli.2nd.next.9@49@Ну... Я не догадалась... Это же так сложно... Такая логическая цепочка, а я девочка, некоторые думают, что глупенькая...|Nun ja.... Ich konnte es nicht herausfinden.... Es klingt so kompliziert.... Und ich bin nur ein dummes Mädchen....
		liza.oli.2nd.next.10^	Лиза!|Lisa!

	liza.oli.2nd.next.10@43@Ты меня совсем за дуру держишь чтоли? Да конечно я ей рассказала и позвала к нам в гости! В ближайшую субботу она придёт к нам. Вот и познакомитесь...|Denkst du, ich bin behindert? Natürlich habe ich es ihr gesagt. Ich habe sie zu uns eingeladen, sie wird nächsten Samstag hier sein und du wirst sie treffen.
		liza.oli.2nd.next.11^	Умничка, Лиза! Твой Алекс скоро будет только твоим!|Gute Arbeit, Lisa! Bald wird Alex dir gehören!

	liza.oli.2nd.next.11@41@Надеюсь на то. Ну а ты тоже своего не упустишь... И как я только на это всё согласилась? Но мне нравится, что всё начинает складываться!|Ich hoffe es. Und du bekommst auch welche.... Und wie hast du mich überhaupt davon überzeugt, das zu tun? Aber mir gefällt, wie sich alles entwickelt!
		leave!set_poss.swap_42!set_dcd.lizasp_5!set_lizasp_1^	Отлично. Значит, в ближайшую субботу...|Großartig. Also, nächsten Samstag....



# --- 0.3: "одноклассник", путь Оливии: Первый визит Оливии|Klassenkameradin Gelegenheit, Olivia Route, erste Olivia's Besuch

	specialevent.7@41@e-oli-1@Мама, Макс, знакомьтесь, это Оливия, моя одноклассница!|Mom, Max, das ist Olivia, sie ist meine Schulfreundin.
		oli.1st.next.1!set_can.seeolivia_1^		Привет, Я Макс.|Hi, ich bin Max.

	oli.1st.next.1@142@Приятно познакомиться, Макс!|Freut mich, Max.
		oli.1st.next.2^		Да, мне тоже...|Mich auch

	oli.1st.next.2@75@Здравствуй, Оливия. Мне тоже приятно. А ещё я очень рада, что Лиза наконец-то нашла себе подругу. А то новое место, сама понимаешь...|Hallo, Olivia. Freut mich, dich kennenzulernen. Ich bin froh, dass Lisa neue Freunde bekommt. Wir sind gerade erst umgezogen.
		oli.1st.next.3^		<i>далее</i>|<i>fortsetzen</i>

	oli.1st.next.3@143@Я тоже рада. Вау... у вас такой большой, красивый и стильный дом... И такой классный бассейн!|Ich bin auch froh. Wow. Dein Haus ist so groß und schön.... Und Ihr Pool ist perfekt!
		oli.1st.next.4^		<i>далее</i>|<i>fortsetzen</i>

	oli.1st.next.4@41@e-oli-2@Мам, мы с Оливией сейчас переоденемся и будем в бассейне плескаться, ты не против?|Mom, Alice und ich werden uns umziehen und im Pool schwimmen, wenn es okay ist?
		oli.1st.next.5^		<i>далее</i>|<i>fortsetzen</i>

	oli.1st.next.5@75@Конечно, девочки, развлекайтесь сколько угодно.|Natürlich, Mädels, schwimmt so viel ihr wollt.
		oli.1st.next.6^		<i>дождаться девчонок</i>|<i>auf Mädchen warten</i>

	oli.1st.next.6@4@e-oli-3@<i>Ого! Нет, не так... ого-го-го... Я сплю?</i>|<i>Wow.... Nein, eher.... <b>WOW!</b>.... Träume ich?</i>
		oli.1st.next.7^		<i>протереть глаза</i>|<i>kneifen meinen Arm</i>

	oli.1st.next.7@68@e-oli-4@Оливия, а где твой купальник? Лиза, ты почему не дала своей подруге купальник, хотя бы тот, чёрный?|Olivia, wo ist dein Badeanzug? Lisa, konntest du deiner Freundin nicht mal den schwarzen Badeanzug geben?
		oli.1st.next.8^		<i>далее</i>|<i>fortsetzen</i>

	oli.1st.next.8@143@Да вы не переживайте на этот счёт! Я совсем не стесняюсь. У меня родители натуристы и мы дома все ходим голые, я привыкла!|Mach dir keine Sorgen. Ich bin nicht schüchtern. Meine Eltern sind Naturisten und wir sind zu Hause immer nackt, ich bin es gewohnt.
		oli.1st.next.9^		Это просто праздник какой-то!|Bin ich im Himmel?

	oli.1st.next.9@62@e-max-happy-1@Ну, я рада, что ты не стесняешься, но вот я стесняюсь за Макса... Кажется, он уже отреагировал в своём стиле...|Ich bin froh, dass du nicht schüchtern bist, aber ich mache mir Sorgen um Max.... Sieht aus, als hätte er eine ziemliche Reaktion....
		oli.1st.next.10^	Э... Что?|Was?

	oli.1st.next.10@143@e-oli-4@Да это нормально! У папы такая же реакция была, когда мы вместе с ним купались или загорали... Так что, я привыкла!|Das ist in Ordnung. Mein Vater hatte eine ähnliche Reaktion, als wir zusammen schwammen oder sonnten.... Ich bin es gewohnt.
		oli.1st.next.11^	Что?!|Was!?

	oli.1st.next.11@62@Это так... странно, Оливия... А где твой папа сейчас?|Es ist irgendwie.... ungewöhnlich, Olivia.... Wo ist dein Vater jetzt?
		oli.1st.next.12^	<i>далее</i>|<i>fortsetzen</i>

	oli.1st.next.12@140@Ну... Они с мамой поругались недавно и сейчас он с нами не живёт. А ещё у нас сломался бассейн и его некому чинить... Можно я к вам буду приходить купаться?|Nun ja.... Meine Eltern hatten einen Streit, also lebt er nicht mehr bei uns. Auch unser Pool ist kaputt und niemand kann ihn reparieren.... Kann ich ab und zu zum Schwimmen rüberkommen?
		oli.1st.next.13^	Мама, скажи да, скажи да!|Mom, bitte sag Ja!

	oli.1st.next.13@75@Конечно, Оливия. Если тебя не смущает Макс, который только на тебя и пялится, то я не против. Можешь приходить в любое время! Ну а я пойду по делам, а то уже достаточно позагорала. Развлекайтесь!|Sicher, Olivia. Wenn Du und Max einverstanden sind, macht es mir nichts aus. Du kannst jederzeit vorbeikommen. Nun, ich gehe jetzt, viel Spaß!
