# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
	11.ia.1@133@Может быть... Но я-то буду знать. Поэтому, так не пойдёт... Знаешь что, у меня есть идея...|I'll know, Max. I might have another idea...
		11.ia.2^		Какая?|What idea?

	11.ia.2@130@Скажи, у тебя есть девушка? И я не имею в виду твою маму, если ты понимаешь о чём я...|Do you have a girlfriend? And I'm not talking about your mom, if you know what I mean...
		11.ia.3^		Ну...|Well...

	11.ia.3@133@Ой, Макс, только не говори, что у тебя никого нет. Я не поверю. Такой парень и с таким... такими выдающимися способностями... Должна быть!|Please don't tell me you're single, Max. There's no way. A guy like you, with your... unique qualities... There has to be!
		11.ia.4^		Ну да, есть...|I do...

	11.ia.4@128@Отлично! Тогда прихди в следующий раз со своей девушкой. Думаю, у тебя всё получится, я тебе заплачу как обычно и все останутся довольны... Как тебе мысль?|Great. Then come over with your girlfriend next time. I'm sure she'll be able to help you out. What do you think?
		11.ia.5^		Ну хорошо...|I'll try...

	11.ia.5@132@Тогда надевай брюки, на сегодня закончим. Я вижу, что даже то, что я голая под халатиком, тебя недостаточно возбуждает...|Then put on your pants, we're done for today. Since me being naked under my coat doesn't cut it anymore...
		11.ia.6^		Ладно...|Okay...

	11.ia.6@128@a-clinic-13@Ну всё, Макс, жду тебя со своей подружкой в любой день, как обычно. Можешь хоть завтра приходить... До свидания!|Bring your girlfriend next time, Max. You can visit any day, even tomorrow, if you want. Bye, Max.
		leave!set_dcd.med_1!set_medalt_2!time^		Хорошо. Пока!|Okay, bye



# --- 0.11: Диалог с Лизой по поводу клиники и необходимости сходить туда вместе

	11.ib.0.init@0@Мне нужна твоя помощь...|I need your help...
	11.ib.0@41@Ого... Вот так сразу? Ну рассказывай, что случилось...|Wow, that's your opener? Did something happen?
		11.ib.1a^		Ты могла бы со мной сходить кое-куда?|Could you go somewhere with me?
		11.ib.1b^		Пойдёшь со мной в клинику?|Could you go to the clinic with me?

	11.ib.1a@43@Звучит очень загадочно... Постой, ты так приглашаешь меня на свидание? Так ты же знаешь, что я не прочь с тобой провести время!|Sounds intriguing... Wait, are you asking me for a date? You know I don't mind spending some time with you.
		11.ib.1b^		Нет, я не о том. Сходишь со мной в клинику?|No, that's not what I mean. Could you go to the clinic with me?

	11.ib.1b@40@Э... Что? Ты заболел, Макс? Может быть, тебе с мамой об этом поговорить? Я-то как тебе могу помочь?|Em, Was? Shouldn't you talk to mom instead? How am I supposed to help you?
		11.ib.1^		В общем...|No, I'm not really sick...

	11.ib.1@41@Так, Макс, с меня хватит загадок. Рассказывай обо всём с самого начала. Иначе я не смогу тебе помочь...|You lost me, Max. Tell me the whole picture. What happened and what do you want me to do.
		11.ib.2^		<i>рассказать о таблетке, туннельном синдроме и клинике</i>|<i>tell about the pill, tunnel syndrome and the clinic</i>
