# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
	06.limom.4.good.2@43@Спасибо, конечно, но... вдруг, кто-то заметит, как ты смотришь и... реагируешь... Ну всё, хватит. А то меня саму это всё уже заводит. Я закончила. Спасибо... за компанию...|Danke, aber.... Was, wenn uns jemand zusammen sieht? Und deine Reaktion? Ich werde auch angeturnt. Ich bin fertig. Danke für deine.... Gesellschaft.
		leave!time^		Ага, тебе тоже...|Du auch



# --- 0.6: Разговор с мамой после того, как она застукала Макса с Лизой|Momtalk, nachdem sie Lisa und Max in der Dusche erwischt hat.

	06.moa.0.init@0@Насчёт Лизы и меня в душе...|Über Lisa und mich in der Dusche....
	06.moa.0@60@А, да. Видимо, я чего-то не знаю о ваших отношениях? Я не стала всё выспрашивать там, пока вы оба были голые... Хочу поговорить с тобой отдельно, если ты не против...|Oh, ja. Gibt es etwas, das ich nicht über euch beide weiß? Ich wollte nicht fragen, als ihr beide nackt wart, aber ich will mit euch darüber reden.
		06.moa.1^		Конечно, без проблем...|kein Problem
		leave^			Хорошо, но в другой раз...|Okay, aber lass uns das ein anderes Mal machen.

	06.moa.1@62@Конечно, я очень рада, что вы настолько дружны, что моетесь вместе голые и не стесняетесь друг дружку, но может быть дело в чём-то другом?|Ich freue mich, dass du so dicht dran bist, aber ich denke, was ist da noch los?
		06.moa.2^		Например?|Wie Was?

	06.moa.2@60@Ну, скажи честно. Ты приставал к Лизе?|Sag mir ehrlich, hast du Lisa belästigt?
		06.moa.3^		Что ты, нет! Как ты можешь...|Was? Natürlich nicht! Wie konntest du das überhaupt denken?

	06.moa.3@68@Ну, да. Извини. Просто, ты у нас парень... слишком любвеобильный. У тебя нет девушки, ты постоянно на взводе. Вот я и подумала, что тебе может быть трудно находиться в женском коллективе, когда все полуголые ходят...|Du hast Recht, es tut mir leid. Es ist nur, dass du so.... voller Liebe bist? Du hast keine Freundin, du bist die ganze Zeit erregt, vielleicht ist es schwer für dich, die ganze Zeit mit halbnackten Frauen zusammen zu sein....
		06.moa.4^		Да, не просто это...|Nun, es ist nicht einfach.

	06.moa.4@60@Понимаю, гормоны... Макс. Я хочу тебя попросить кое о чём. Пожалуйста, не испорть мне Лизу. Она девочка скромная, не хотелось бы, чтобы получилась вторая Кира, если ты меня понимаешь...|Ich verstehe, Hormone.... Ich möchte dich nur etwas fragen, Max. Bitte verdirb Lisa nicht. Sie ist ein schüchternes Mädchen und ich will nicht, dass sie sich in Kira 2.0 verwandelt, wenn du weißt, was ich meine....
		06.moa.5^		Понимаю.|Ich verstehe.
		06.moa.5a^		Скромная? Очень смешно...|Schüchtern? Sehr lustig

	06.moa.5a@62@В каком смысле? Я чего-то не знаю?|Was meinst du damit? Gibt es etwas, das ich nicht weiß?
		06.moa.5a.2^	Нет, просто скромная не стала бы мыться с парнем, у которого стояк...|Ein schüchternes Mädchen würde nicht neben dem nackten und erregten Kerl duschen.

	06.moa.5a.2@67@А вот это уже твоя вина. Наверняка, сам без разрешения в душ залез. Куда ей деваться? Так всё и было?|Ich bin sicher, es ist deine Schuld. Lass mich raten, du bist einfach reingeplatzt, ohne sie zu fragen, richtig?
		06.moa.5^		Ну...|Nu-u-u-u-u-un j-j-j-j-a-a-a-a-a...

	06.moa.5@60@Ладно, я не думаю, что это всё большая проблема. Просто постарайся особо не провоцировать её и не приставай, конечно.|Okay. Ich denke nicht, dass das ein großes Problem ist, versuche einfach, dich in Schach zu halten, okay?
		06.moa.6^		Да я понял всё. Никто не пристаёт, всё в порядке!|Ich verstehe. Niemand belästigt jemanden, ich verspreche es!

	06.moa.6@67@Очень хорошо. Ты меня успокоил, а то я всё время думаю, что как-то не так вас воспитываю. С другой стороны, неизвестно как бы получилось у кого-то другого на моём месте в такой ситуации...|Okay. Danke, dass du mich beruhigt hast, ich denke immer noch, dass ich euch alle falsch erziehe. Auf der anderen Seite, wer weiß, was andere Leute in meiner Situation tun würden....
		06.moa.7^		Да ты мам - лучшая! Не переживай!|Du bist die Beste, Mom! Mach dir keine Sorgen!

	06.moa.7@75@Ладно. Я тебя люблю, Макс. Ты у меня настоящий мужчина, поддержка и опора. Ну всё, иди своими делами занимайся, а то перехвалю...|Okay. Ich liebe dich, Max. Du bist ein echter Mann, mein Fels. Jetzt geh und mach dein Ding, bevor ich dich überschätze.
		leave!set_moaliza_2^		Ага...|Okay



# --- 0.6: Разговор с Алисой насчёт Эрика после его исчезновения (после первого диалога за завтраком на эту тему)|über Eric reden, nachdem er weg ist.

	06.aliabe.0.init@0@Я хотел спросить про Эрика...|Ich möchte über Eric sprechen....
	06.aliabe.0@22@Я понятия не имею где он. И если подумать, то вообще ничего про него не знаю...|Ich habe keine Ahnung, wo er ist. Oder irgendetwas anderes über ihn, jetzt wo ich darüber nachdenke....
		06.aliabe.1^		Да я не о том...|Darüber will ich nicht reden.

	06.aliabe.1@20@А о чём тогда?|Was dann?
		06.aliabe.2^		У тебя с ним было что-то?|Hast du etwas mit ihm gemacht?

	06.aliabe.2@23@Что?! Макс, ну ты и придурок!|Was!? Du bist ein Idiot, Max!
		06.aliabe.3^		Ну, вы в комнате закрывались...|Du warst in deinem Zimmer und die Tür war zu....

	06.aliabe.3@21@Макс! Эрик дарил мне всякие шмотки. Иногда я их примеряла, а чтобы такие как ты не глазели, прикрывала дверь. Ничего больше! Да и что за вопросы? Он же мог стать нашим отцом!|Max! Er hat mir nur ein paar Klamotten geschenkt. Manchmal probierte ich sie an und schloss die Tür, damit Leute wie <i>du</i> nicht gucken können. Das war's! Und was ist das für eine Frage? Er könnte unser Vater sein!
		06.aliabe.4^		Отчимом...|Stiefvater

	06.aliabe.4@22@Да какая разница? Он с мамой и я его не интересовала совершенно!|Wo ist der Unterschied? Er war bei Mom und er war überhaupt nicht an mir interessiert.
		06.aliabe.5^		Что-то я сомневаюсь...|Ich bezweifle, dass

	06.aliabe.5@21@Ну, может флиртовала чуть-чуть, даже массаж пару раз ему делала, а он мне, но ни разу меня не лапал, а если бы и прикоснулся, то получил бы по яйцам, независимо от того, кем он приходился бы нам официально...|Nun, vielleicht haben wir etwas geflirtet, wir haben uns gegenseitig massiert, aber das war's. Er hat nie etwas versucht, und wenn, dann würde ich ihm in die Eier treten, unabhängig von seiner Beziehung zu uns.
		06.aliabe.6^		Ого...|Wow

	06.aliabe.6@28@И если продолжишь задавать дебильные вопросы, ещё и сам получишь! Короче, ничего у нас не было и быть не могло. Понял?|Und wenn du weiterhin deine dummen Fragen stellst, kriegst du auch was! Da war nichts zwischen uns, und es konnte auch nicht sein. Verstanden?
		leave!set_alie_2^	Всё понял, спокойно!|Ich hab's, entspann dich!



# --- 0.6: Разговор с Кирой о её интересе в помощи маме|kiratalk über gerissenen Plan

	06.kiin.0.init@0@Давно хотел узнать о твоей цели в помощи мне насчёт мамы...|Hey, ich möchte dich nach deinem Grund fragen, mir mit Mom zu helfen.
	06.kiin.0@101@Ты сам обратился ко мне за помощью, помнишь? А всё звучит так, как будто я задумала что-то плохое...|Du bist derjenige, der mich gefragt hat, erinnerst du dich? Du klingst, als hätte ich ein ominöses Motiv....
		06.kiin.1^		А ты задумала?|Hast du?

	06.kiin.1@113@Плохое? Нет, что ты. Конечно, мы немного отвлеклись от изначального плана, где ты убеждаешь маму, что её дочь, встречающаяся с другой девушкой - это нормально... А что, тебе не нравится, как всё идёт?|Ominös, nein. Wir sind allerdings etwas vom ursprünglichen Plan abgewichen. Das mit der überzeugenden Mom, dass es für ihre Tochter in Ordnung ist, mit einem anderen Mädchen auszugehen.... Hast du irgendwelche Beschwerden über unsere Fortschritte?
		06.kiin.2^		Очень нравится!|Nein, überhaupt nicht.

	06.kiin.2@114@Ну тогда к чему эти вопросы? Да, у меня есть свой интерес, но он никак не связан ни с Алисой, ни с её подружкой, но раз нам по пути, то почему бы не помочь любимому племяннику, правда?|Warum dann all die Fragen? Ja, ich habe mein Interesse, aber es hat nichts mit Alice oder ihrer Freundin zu tun. Aber da unsere Interessen übereinstimmen, warum nicht meinem Lieblingsneffen helfen?
